date,daily_revenue
8/19/2023,334.32
8/20/2023,140.92
8/21/2023,296.88
8/22/2023,157.86
8/23/2023,211.18
8/24/2023,76.58
8/25/2023,44
8/26/2023,221.09
8/27/2023,511.4
8/28/2023,151.5
8/29/2023,94.35
8/30/2023,158.52
8/31/2023,133.35
9/1/2023,128.49
9/2/2023,353.85
9/3/2023,316
9/4/2023,279.78
9/5/2023,212.13
9/6/2023,358.72
9/7/2023,108.24
9/8/2023,23.52
9/9/2023,206.89
9/10/2023,129.54
9/11/2023,35.04
9/12/2023,247.18
9/13/2023,215.94
9/14/2023,305.42
9/15/2023,104.24
9/16/2023,210.77
9/17/2023,284.9
9/18/2023,77.37
9/19/2023,170.29
9/20/2023,112.83
9/21/2023,157.17
9/22/2023,33.6
9/23/2023,212.88
9/24/2023,113.67
9/25/2023,400.44
9/26/2023,119.7
9/27/2023,99.44
9/28/2023,113.24
9/29/2023,130.26
9/30/2023,100.2
10/1/2023,81.84
10/2/2023,347.27
10/3/2023,137.07
10/4/2023,195.06
10/5/2023,59.92
10/6/2023,205.47
10/7/2023,217.49
10/8/2023,86.79
10/9/2023,53.7
10/10/2023,144.08
10/11/2023,31.86
10/12/2023,169.04
10/13/2023,283.87
10/14/2023,317.28
10/15/2023,153.93
10/16/2023,228.03
10/17/2023,319.72
10/18/2023,101.04
10/19/2023,150.03
10/20/2023,99.54
10/21/2023,261.53
10/22/2023,121.35
10/23/2023,184.6
10/24/2023,44
10/25/2023,106
10/26/2023,111.5
10/27/2023,212.4
10/28/2023,268.21
10/29/2023,284.31
10/30/2023,43.01
10/31/2023,397.97
11/1/2023,104.4
11/2/2023,90.66
11/3/2023,41.8
11/4/2023,263.16
11/5/2023,56.06
11/6/2023,58.64
11/7/2023,216.36
11/8/2023,82.14
11/9/2023,252.1
11/10/2023,195.7
11/11/2023,99.4
11/12/2023,166.39
11/13/2023,283.13
11/14/2023,224.49
11/15/2023,72.88
11/16/2023,306.82
11/17/2023,271.08
11/18/2023,153.19
11/19/2023,160.29
11/20/2023,113.47
11/21/2023,122.36
11/22/2023,149.07
11/23/2023,205.05
11/24/2023,322.55
11/25/2023,93.2
11/26/2023,220.42
11/27/2023,180.01
11/28/2023,311.84
11/29/2023,235.34
11/30/2023,450.13
12/1/2023,144
12/2/2023,44.28
12/3/2023,190.64
12/4/2023,284.07
12/5/2023,132.85
12/6/2023,276.02
12/7/2023,147.8
12/8/2023,153.69
12/9/2023,362.12
12/10/2023,83.22
12/11/2023,160.4
12/12/2023,95.99
12/13/2023,114.57
12/14/2023,167.02
12/15/2023,76.12
12/16/2023,295
12/17/2023,122.64
12/18/2023,110.43
12/19/2023,113.53
12/20/2023,201.9
12/21/2023,231.04
12/22/2023,57.4
12/23/2023,158.63
12/24/2023,127.36
12/25/2023,216.9
12/26/2023,93.36
12/27/2023,285.56
12/28/2023,85.95
12/29/2023,76.95
12/30/2023,192.14
12/31/2023,328.97
1/1/2024,106.45
1/2/2024,175.98
1/3/2024,102.26
1/4/2024,301.12
1/5/2024,175.68
1/6/2024,132.08
1/7/2024,93.04
1/8/2024,291.19
1/9/2024,115.02
1/10/2024,44.48
1/11/2024,132.77
1/12/2024,110.76
1/13/2024,476.18
1/14/2024,142.08
1/15/2024,165.87
1/16/2024,148.79
1/17/2024,176.94
1/18/2024,44.05
1/19/2024,128.58
1/20/2024,191.53
1/21/2024,66.66
1/22/2024,300.42
1/23/2024,187.09
1/24/2024,207.74
1/25/2024,276.99
1/26/2024,314.27
1/27/2024,74.15
1/28/2024,92.43
1/29/2024,236.86
1/30/2024,101.6
1/31/2024,78
2/1/2024,131.16
2/2/2024,193.21
2/3/2024,176.55
2/4/2024,151.02
2/5/2024,122
2/6/2024,170.04
2/7/2024,59
2/8/2024,19.26
2/9/2024,226.25
2/10/2024,283.23
2/11/2024,115.1
2/12/2024,285.93
2/13/2024,190.83
2/14/2024,245.22
2/15/2024,205.72
2/16/2024,153.3
2/17/2024,292.84
2/18/2024,276.04
2/19/2024,173.46
2/20/2024,174.66
2/21/2024,216.71
2/22/2024,202.31
2/23/2024,179.64
2/24/2024,171.42
2/25/2024,97.79
2/26/2024,236.41
2/27/2024,71.17
2/28/2024,188.11
2/29/2024,185.05
3/1/2024,184.15
3/2/2024,164.82
3/3/2024,249.22
3/4/2024,165.61
3/5/2024,321.1
3/6/2024,234.03
3/7/2024,217.11
3/8/2024,173.57
3/9/2024,316.56
3/10/2024,164.58
3/11/2024,246.13
3/12/2024,93.3
3/13/2024,289.34
3/14/2024,216.36
3/15/2024,67.48
3/16/2024,106.57
3/17/2024,214.42
3/18/2024,119.25
3/19/2024,249.75
3/20/2024,90.4
3/21/2024,116.4
3/22/2024,557.73
3/23/2024,97.11
3/24/2024,162.2
3/25/2024,27.03
3/26/2024,222.3
3/27/2024,243
3/28/2024,136.26
3/29/2024,241.32
3/30/2024,196.49
3/31/2024,83.32
4/1/2024,73.44
4/2/2024,97.95
4/3/2024,162.43
4/4/2024,93.94
4/5/2024,252.71
4/6/2024,174.81
4/7/2024,100.93
4/8/2024,283.92
4/9/2024,272.01
4/10/2024,147.84
4/11/2024,45.7
4/12/2024,251.83
4/13/2024,161.53
4/14/2024,243.23
4/15/2024,203.11
4/16/2024,225.12
4/17/2024,173.17
4/18/2024,327.72
4/19/2024,304.64
4/20/2024,101.8
4/21/2024,229.73
4/22/2024,116.88
4/23/2024,460.96
4/24/2024,146.37
4/25/2024,331.19
4/26/2024,313.1
4/27/2024,213.92
